noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.801400,0.000000,0.000000,0.000000
brightness, 5, 0.821300,0.000010,1.000000,10.000000
brightness, 100, 0.832500,0.000010,1.000000,10.000000
contrast, 0, 0.190200,0.000000,0.000000,0.000000
contrast, 5, 0.293700,0.000010,1.000000,10.000000
contrast, 100, 0.746000,0.000010,1.000000,10.000000
defocus_blur, 0, 0.510200,0.000000,0.000000,0.000000
defocus_blur, 5, 0.737300,0.000010,1.000000,10.000000
defocus_blur, 100, 0.809700,0.000010,1.000000,10.000000
elastic_transform, 0, 0.716800,0.000000,0.000000,0.000000
elastic_transform, 5, 0.707900,0.000010,1.000000,10.000000
elastic_transform, 100, 0.725300,0.000010,1.000000,10.000000
fog, 0, 0.487400,0.000000,0.000000,0.000000
fog, 5, 0.599300,0.000010,1.000000,10.000000
fog, 100, 0.731100,0.000010,1.000000,10.000000
frost, 0, 0.679100,0.000000,0.000000,0.000000
frost, 5, 0.733500,0.000010,1.000000,10.000000
frost, 100, 0.751000,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.597700,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.712200,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.734800,0.000010,1.000000,10.000000
glass_blur, 0, 0.599200,0.000000,0.000000,0.000000
glass_blur, 5, 0.632500,0.000010,1.000000,10.000000
glass_blur, 100, 0.625000,0.000010,1.000000,10.000000
impulse_noise, 0, 0.385800,0.000000,0.000000,0.000000
impulse_noise, 5, 0.581000,0.000010,1.000000,10.000000
impulse_noise, 100, 0.594200,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.797700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.791500,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.789300,0.000010,1.000000,10.000000
motion_blur, 0, 0.573700,0.000000,0.000000,0.000000
motion_blur, 5, 0.684900,0.000010,1.000000,10.000000
motion_blur, 100, 0.747300,0.000010,1.000000,10.000000
pixelate, 0, 0.656900,0.000000,0.000000,0.000000
pixelate, 5, 0.747700,0.000010,1.000000,10.000000
pixelate, 100, 0.774400,0.000010,1.000000,10.000000
shot_noise, 0, 0.624800,0.000000,0.000000,0.000000
shot_noise, 5, 0.743400,0.000010,1.000000,10.000000
shot_noise, 100, 0.756400,0.000010,1.000000,10.000000
snow, 0, 0.729900,0.000000,0.000000,0.000000
snow, 5, 0.754200,0.000010,1.000000,10.000000
snow, 100, 0.765000,0.000010,1.000000,10.000000
zoom_blur, 0, 0.575100,0.000000,0.000000,0.000000
zoom_blur, 5, 0.724400,0.000010,1.000000,10.000000
zoom_blur, 100, 0.776700,0.000010,1.000000,10.000000
