noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.804700,0.000000,0.000000,0.000000
brightness, 5, 0.835900,0.000010,1.000000,10.000000
brightness, 100, 0.837500,0.000010,1.000000,10.000000
contrast, 0, 0.195400,0.000000,0.000000,0.000000
contrast, 5, 0.354700,0.000010,1.000000,10.000000
contrast, 100, 0.726500,0.000010,1.000000,10.000000
defocus_blur, 0, 0.521300,0.000000,0.000000,0.000000
defocus_blur, 5, 0.677900,0.000010,1.000000,10.000000
defocus_blur, 100, 0.810100,0.000010,1.000000,10.000000
elastic_transform, 0, 0.718200,0.000000,0.000000,0.000000
elastic_transform, 5, 0.741500,0.000010,1.000000,10.000000
elastic_transform, 100, 0.714900,0.000010,1.000000,10.000000
fog, 0, 0.501900,0.000000,0.000000,0.000000
fog, 5, 0.601600,0.000010,1.000000,10.000000
fog, 100, 0.735600,0.000010,1.000000,10.000000
frost, 0, 0.671200,0.000000,0.000000,0.000000
frost, 5, 0.728000,0.000010,1.000000,10.000000
frost, 100, 0.760900,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.576300,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.709200,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.731800,0.000010,1.000000,10.000000
glass_blur, 0, 0.591800,0.000000,0.000000,0.000000
glass_blur, 5, 0.635800,0.000010,1.000000,10.000000
glass_blur, 100, 0.614700,0.000010,1.000000,10.000000
impulse_noise, 0, 0.362200,0.000000,0.000000,0.000000
impulse_noise, 5, 0.576700,0.000010,1.000000,10.000000
impulse_noise, 100, 0.612600,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.796400,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.795200,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.785900,0.000010,1.000000,10.000000
motion_blur, 0, 0.590000,0.000000,0.000000,0.000000
motion_blur, 5, 0.668000,0.000010,1.000000,10.000000
motion_blur, 100, 0.752900,0.000010,1.000000,10.000000
pixelate, 0, 0.662000,0.000000,0.000000,0.000000
pixelate, 5, 0.729500,0.000010,1.000000,10.000000
pixelate, 100, 0.755300,0.000010,1.000000,10.000000
shot_noise, 0, 0.605200,0.000000,0.000000,0.000000
shot_noise, 5, 0.743700,0.000010,1.000000,10.000000
shot_noise, 100, 0.742300,0.000010,1.000000,10.000000
snow, 0, 0.723500,0.000000,0.000000,0.000000
snow, 5, 0.756600,0.000010,1.000000,10.000000
snow, 100, 0.766400,0.000010,1.000000,10.000000
zoom_blur, 0, 0.588600,0.000000,0.000000,0.000000
zoom_blur, 5, 0.695500,0.000010,1.000000,10.000000
zoom_blur, 100, 0.770400,0.000010,1.000000,10.000000
